"","County","Year","Count_ExHeat_Days"
"30","Alamance",2008,39
"31","Alamance",2009,28
"32","Alamance",2010,65
"33","Alamance",2011,86
"34","Alamance",2012,59
"35","Alamance",2013,12
"36","Alamance",2014,37
"37","Alamance",2015,51
"38","Alamance",2016,44
"39","Alamance",2017,28
"40","Alamance",2018,41
"41","Alamance",2019,31
"42","Alamance",2020,29
"43","Alamance",2021,27
"73","Alamance",2008,39
"74","Alamance",2009,28
"75","Alamance",2010,65
"76","Alamance",2011,86
"77","Alamance",2012,59
"78","Alamance",2013,12
"79","Alamance",2014,37
"80","Alamance",2015,51
"81","Alamance",2016,44
"82","Alamance",2017,28
"83","Alamance",2018,41
"84","Alamance",2019,31
"85","Alamance",2020,29
"86","Alamance",2021,27
"116","Alamance",2008,39
"117","Alamance",2009,28
"118","Alamance",2010,65
"119","Alamance",2011,86
"120","Alamance",2012,59
"121","Alamance",2013,12
"122","Alamance",2014,37
"123","Alamance",2015,51
"124","Alamance",2016,44
"125","Alamance",2017,28
"126","Alamance",2018,41
"127","Alamance",2019,31
"128","Alamance",2020,29
"129","Alamance",2021,27
"159","Alamance",2008,40
"160","Alamance",2009,28
"161","Alamance",2010,64
"162","Alamance",2011,86
"163","Alamance",2012,59
"164","Alamance",2013,13
"165","Alamance",2014,38
"166","Alamance",2015,51
"167","Alamance",2016,45
"168","Alamance",2017,27
"169","Alamance",2018,41
"170","Alamance",2019,33
"171","Alamance",2020,30
"172","Alamance",2021,28
"202","Alamance",2008,39
"203","Alamance",2009,28
"204","Alamance",2010,65
"205","Alamance",2011,86
"206","Alamance",2012,59
"207","Alamance",2013,12
"208","Alamance",2014,37
"209","Alamance",2015,51
"210","Alamance",2016,44
"211","Alamance",2017,28
"212","Alamance",2018,41
"213","Alamance",2019,31
"214","Alamance",2020,29
"215","Alamance",2021,27
"245","Alamance",2008,39
"246","Alamance",2009,28
"247","Alamance",2010,65
"248","Alamance",2011,86
"249","Alamance",2012,59
"250","Alamance",2013,12
"251","Alamance",2014,37
"252","Alamance",2015,51
"253","Alamance",2016,44
"254","Alamance",2017,28
"255","Alamance",2018,41
"256","Alamance",2019,31
"257","Alamance",2020,29
"258","Alamance",2021,27
"288","Alamance",2008,39
"289","Alamance",2009,28
"290","Alamance",2010,65
"291","Alamance",2011,86
"292","Alamance",2012,59
"293","Alamance",2013,12
"294","Alamance",2014,37
"295","Alamance",2015,51
"296","Alamance",2016,44
"297","Alamance",2017,28
"298","Alamance",2018,41
"299","Alamance",2019,31
"300","Alamance",2020,29
"301","Alamance",2021,27
"331","Alamance",2008,39
"332","Alamance",2009,28
"333","Alamance",2010,65
"334","Alamance",2011,86
"335","Alamance",2012,59
"336","Alamance",2013,12
"337","Alamance",2014,37
"338","Alamance",2015,51
"339","Alamance",2016,44
"340","Alamance",2017,28
"341","Alamance",2018,41
"342","Alamance",2019,31
"343","Alamance",2020,29
"344","Alamance",2021,27
"374","Alamance",2008,39
"375","Alamance",2009,28
"376","Alamance",2010,65
"377","Alamance",2011,86
"378","Alamance",2012,59
"379","Alamance",2013,12
"380","Alamance",2014,37
"381","Alamance",2015,51
"382","Alamance",2016,44
"383","Alamance",2017,28
"384","Alamance",2018,41
"385","Alamance",2019,31
"386","Alamance",2020,29
"387","Alamance",2021,27
"417","Alamance",2008,39
"418","Alamance",2009,28
"419","Alamance",2010,65
"420","Alamance",2011,86
"421","Alamance",2012,59
"422","Alamance",2013,12
"423","Alamance",2014,37
"424","Alamance",2015,51
"425","Alamance",2016,44
"426","Alamance",2017,28
"427","Alamance",2018,41
"428","Alamance",2019,31
"429","Alamance",2020,29
"430","Alamance",2021,27
"460","Alamance",2008,39
"461","Alamance",2009,28
"462","Alamance",2010,65
"463","Alamance",2011,86
"464","Alamance",2012,59
"465","Alamance",2013,12
"466","Alamance",2014,37
"467","Alamance",2015,51
"468","Alamance",2016,44
"469","Alamance",2017,28
"470","Alamance",2018,41
"471","Alamance",2019,31
"472","Alamance",2020,29
"473","Alamance",2021,27
"503","Alamance",2008,39
"504","Alamance",2009,28
"505","Alamance",2010,65
"506","Alamance",2011,86
"507","Alamance",2012,59
"508","Alamance",2013,12
"509","Alamance",2014,37
"510","Alamance",2015,51
"511","Alamance",2016,44
"512","Alamance",2017,28
"513","Alamance",2018,41
"514","Alamance",2019,31
"515","Alamance",2020,29
"516","Alamance",2021,27
"546","Alamance",2008,39
"547","Alamance",2009,28
"548","Alamance",2010,65
"549","Alamance",2011,86
"550","Alamance",2012,59
"551","Alamance",2013,12
"552","Alamance",2014,37
"553","Alamance",2015,51
"554","Alamance",2016,44
"555","Alamance",2017,28
"556","Alamance",2018,41
"557","Alamance",2019,31
"558","Alamance",2020,29
"559","Alamance",2021,27
"589","Alamance",2008,39
"590","Alamance",2009,28
"591","Alamance",2010,65
"592","Alamance",2011,86
"593","Alamance",2012,59
"594","Alamance",2013,12
"595","Alamance",2014,37
"596","Alamance",2015,51
"597","Alamance",2016,44
"598","Alamance",2017,28
"599","Alamance",2018,41
"600","Alamance",2019,31
"601","Alamance",2020,29
"602","Alamance",2021,27
"632","Alamance",2008,39
"633","Alamance",2009,28
"634","Alamance",2010,65
"635","Alamance",2011,86
"636","Alamance",2012,59
"637","Alamance",2013,12
"638","Alamance",2014,37
"639","Alamance",2015,51
"640","Alamance",2016,44
"641","Alamance",2017,28
"642","Alamance",2018,41
"643","Alamance",2019,31
"644","Alamance",2020,29
"645","Alamance",2021,27
"675","Alamance",2008,39
"676","Alamance",2009,31
"677","Alamance",2010,65
"678","Alamance",2011,86
"679","Alamance",2012,58
"680","Alamance",2013,12
"681","Alamance",2014,37
"682","Alamance",2015,46
"683","Alamance",2016,42
"684","Alamance",2017,28
"685","Alamance",2018,41
"686","Alamance",2019,31
"687","Alamance",2020,29
"688","Alamance",2021,26
"718","Alamance",2008,39
"719","Alamance",2009,28
"720","Alamance",2010,65
"721","Alamance",2011,86
"722","Alamance",2012,59
"723","Alamance",2013,12
"724","Alamance",2014,37
"725","Alamance",2015,51
"726","Alamance",2016,44
"727","Alamance",2017,28
"728","Alamance",2018,41
"729","Alamance",2019,31
"730","Alamance",2020,29
"731","Alamance",2021,27
"761","Alamance",2008,38
"762","Alamance",2009,31
"763","Alamance",2010,65
"764","Alamance",2011,85
"765","Alamance",2012,58
"766","Alamance",2013,11
"767","Alamance",2014,38
"768","Alamance",2015,45
"769","Alamance",2016,39
"770","Alamance",2017,28
"771","Alamance",2018,40
"772","Alamance",2019,31
"773","Alamance",2020,29
"774","Alamance",2021,27
"804","Alamance",2008,38
"805","Alamance",2009,31
"806","Alamance",2010,65
"807","Alamance",2011,85
"808","Alamance",2012,58
"809","Alamance",2013,11
"810","Alamance",2014,38
"811","Alamance",2015,45
"812","Alamance",2016,39
"813","Alamance",2017,28
"814","Alamance",2018,40
"815","Alamance",2019,31
"816","Alamance",2020,29
"817","Alamance",2021,27
"847","Alamance",2008,38
"848","Alamance",2009,31
"849","Alamance",2010,65
"850","Alamance",2011,85
"851","Alamance",2012,58
"852","Alamance",2013,11
"853","Alamance",2014,38
"854","Alamance",2015,45
"855","Alamance",2016,39
"856","Alamance",2017,28
"857","Alamance",2018,40
"858","Alamance",2019,31
"859","Alamance",2020,29
"860","Alamance",2021,27
"890","Alamance",2008,38
"891","Alamance",2009,31
"892","Alamance",2010,65
"893","Alamance",2011,85
"894","Alamance",2012,58
"895","Alamance",2013,11
"896","Alamance",2014,38
"897","Alamance",2015,45
"898","Alamance",2016,39
"899","Alamance",2017,28
"900","Alamance",2018,40
"901","Alamance",2019,31
"902","Alamance",2020,29
"903","Alamance",2021,27
"933","Alamance",2008,38
"934","Alamance",2009,31
"935","Alamance",2010,65
"936","Alamance",2011,85
"937","Alamance",2012,58
"938","Alamance",2013,11
"939","Alamance",2014,38
"940","Alamance",2015,45
"941","Alamance",2016,39
"942","Alamance",2017,28
"943","Alamance",2018,40
"944","Alamance",2019,31
"945","Alamance",2020,29
"946","Alamance",2021,27
"976","Alamance",2008,40
"977","Alamance",2009,27
"978","Alamance",2010,64
"979","Alamance",2011,83
"980","Alamance",2012,58
"981","Alamance",2013,13
"982","Alamance",2014,38
"983","Alamance",2015,44
"984","Alamance",2016,38
"985","Alamance",2017,26
"986","Alamance",2018,40
"987","Alamance",2019,31
"988","Alamance",2020,30
"989","Alamance",2021,28
"1019","Alamance",2008,42
"1020","Alamance",2009,28
"1021","Alamance",2010,64
"1022","Alamance",2011,83
"1023","Alamance",2012,58
"1024","Alamance",2013,16
"1025","Alamance",2014,39
"1026","Alamance",2015,49
"1027","Alamance",2016,44
"1028","Alamance",2017,26
"1029","Alamance",2018,40
"1030","Alamance",2019,33
"1031","Alamance",2020,29
"1032","Alamance",2021,27
"1062","Alamance",2008,42
"1063","Alamance",2009,28
"1064","Alamance",2010,63
"1065","Alamance",2011,83
"1066","Alamance",2012,58
"1067","Alamance",2013,16
"1068","Alamance",2014,38
"1069","Alamance",2015,50
"1070","Alamance",2016,44
"1071","Alamance",2017,26
"1072","Alamance",2018,41
"1073","Alamance",2019,33
"1074","Alamance",2020,29
"1075","Alamance",2021,26
"1105","Alamance",2008,38
"1106","Alamance",2009,28
"1107","Alamance",2010,60
"1108","Alamance",2011,83
"1109","Alamance",2012,59
"1110","Alamance",2013,12
"1111","Alamance",2014,36
"1112","Alamance",2015,51
"1113","Alamance",2016,43
"1114","Alamance",2017,26
"1115","Alamance",2018,42
"1116","Alamance",2019,31
"1117","Alamance",2020,27
"1118","Alamance",2021,25
"1148","Alamance",2008,38
"1149","Alamance",2009,28
"1150","Alamance",2010,62
"1151","Alamance",2011,84
"1152","Alamance",2012,59
"1153","Alamance",2013,12
"1154","Alamance",2014,35
"1155","Alamance",2015,53
"1156","Alamance",2016,44
"1157","Alamance",2017,26
"1158","Alamance",2018,42
"1159","Alamance",2019,30
"1160","Alamance",2020,27
"1161","Alamance",2021,25
"1191","Alamance",2008,38
"1192","Alamance",2009,28
"1193","Alamance",2010,62
"1194","Alamance",2011,84
"1195","Alamance",2012,59
"1196","Alamance",2013,12
"1197","Alamance",2014,35
"1198","Alamance",2015,53
"1199","Alamance",2016,44
"1200","Alamance",2017,26
"1201","Alamance",2018,42
"1202","Alamance",2019,30
"1203","Alamance",2020,27
"1204","Alamance",2021,25
"1234","Alamance",2008,38
"1235","Alamance",2009,28
"1236","Alamance",2010,62
"1237","Alamance",2011,84
"1238","Alamance",2012,59
"1239","Alamance",2013,12
"1240","Alamance",2014,35
"1241","Alamance",2015,53
"1242","Alamance",2016,44
"1243","Alamance",2017,26
"1244","Alamance",2018,42
"1245","Alamance",2019,30
"1246","Alamance",2020,27
"1247","Alamance",2021,25
"1277","Alamance",2008,39
"1278","Alamance",2009,31
"1279","Alamance",2010,69
"1280","Alamance",2011,86
"1281","Alamance",2012,59
"1282","Alamance",2013,12
"1283","Alamance",2014,37
"1284","Alamance",2015,53
"1285","Alamance",2016,45
"1286","Alamance",2017,28
"1287","Alamance",2018,43
"1288","Alamance",2019,33
"1289","Alamance",2020,29
"1290","Alamance",2021,28
"1320","Alamance",2008,39
"1321","Alamance",2009,33
"1322","Alamance",2010,72
"1323","Alamance",2011,86
"1324","Alamance",2012,59
"1325","Alamance",2013,12
"1326","Alamance",2014,37
"1327","Alamance",2015,52
"1328","Alamance",2016,45
"1329","Alamance",2017,30
"1330","Alamance",2018,43
"1331","Alamance",2019,35
"1332","Alamance",2020,29
"1333","Alamance",2021,27
"1363","Alamance",2008,41
"1364","Alamance",2009,36
"1365","Alamance",2010,74
"1366","Alamance",2011,87
"1367","Alamance",2012,59
"1368","Alamance",2013,13
"1369","Alamance",2014,37
"1370","Alamance",2015,58
"1371","Alamance",2016,50
"1372","Alamance",2017,31
"1373","Alamance",2018,46
"1374","Alamance",2019,37
"1375","Alamance",2020,29
"1376","Alamance",2021,29
"1406","Alamance",2008,39
"1407","Alamance",2009,33
"1408","Alamance",2010,74
"1409","Alamance",2011,87
"1410","Alamance",2012,59
"1411","Alamance",2013,13
"1412","Alamance",2014,40
"1413","Alamance",2015,51
"1414","Alamance",2016,45
"1415","Alamance",2017,32
"1416","Alamance",2018,43
"1417","Alamance",2019,35
"1418","Alamance",2020,31
"1419","Alamance",2021,29
"1449","Alamance",2008,40
"1450","Alamance",2009,39
"1451","Alamance",2010,76
"1452","Alamance",2011,86
"1453","Alamance",2012,59
"1454","Alamance",2013,13
"1455","Alamance",2014,46
"1456","Alamance",2015,52
"1457","Alamance",2016,47
"1458","Alamance",2017,32
"1459","Alamance",2018,44
"1460","Alamance",2019,37
"1461","Alamance",2020,34
"1462","Alamance",2021,30
"1492","Alamance",2008,39
"1493","Alamance",2009,32
"1494","Alamance",2010,74
"1495","Alamance",2011,86
"1496","Alamance",2012,58
"1497","Alamance",2013,13
"1498","Alamance",2014,41
"1499","Alamance",2015,48
"1500","Alamance",2016,45
"1501","Alamance",2017,32
"1502","Alamance",2018,42
"1503","Alamance",2019,35
"1504","Alamance",2020,31
"1505","Alamance",2021,29
"1535","Alamance",2008,39
"1536","Alamance",2009,31
"1537","Alamance",2010,74
"1538","Alamance",2011,86
"1539","Alamance",2012,58
"1540","Alamance",2013,13
"1541","Alamance",2014,40
"1542","Alamance",2015,48
"1543","Alamance",2016,45
"1544","Alamance",2017,32
"1545","Alamance",2018,42
"1546","Alamance",2019,35
"1547","Alamance",2020,31
"1548","Alamance",2021,29
"1578","Alexander",2008,34
"1579","Alexander",2009,16
"1580","Alexander",2010,33
"1581","Alexander",2011,56
"1582","Alexander",2012,42
"1583","Alexander",2013,4
"1584","Alexander",2014,10
"1585","Alexander",2015,45
"1586","Alexander",2016,34
"1587","Alexander",2017,12
"1588","Alexander",2018,19
"1589","Alexander",2019,17
"1590","Alexander",2020,8
"1591","Alexander",2021,18
"1621","Alexander",2008,20
"1622","Alexander",2009,2
"1623","Alexander",2010,15
"1624","Alexander",2011,34
"1625","Alexander",2012,21
"1626","Alexander",2013,0
"1627","Alexander",2014,1
"1628","Alexander",2015,22
"1629","Alexander",2016,9
"1630","Alexander",2017,3
"1631","Alexander",2018,3
"1632","Alexander",2019,4
"1633","Alexander",2020,1
"1634","Alexander",2021,4
"1664","Alexander",2008,21
"1665","Alexander",2009,3
"1666","Alexander",2010,15
"1667","Alexander",2011,33
"1668","Alexander",2012,21
"1669","Alexander",2013,0
"1670","Alexander",2014,1
"1671","Alexander",2015,17
"1672","Alexander",2016,8
"1673","Alexander",2017,3
"1674","Alexander",2018,2
"1675","Alexander",2019,4
"1676","Alexander",2020,1
"1677","Alexander",2021,4
"1707","Alexander",2008,30
"1708","Alexander",2009,9
"1709","Alexander",2010,27
"1710","Alexander",2011,46
"1711","Alexander",2012,29
"1712","Alexander",2013,1
"1713","Alexander",2014,4
"1714","Alexander",2015,35
"1715","Alexander",2016,24
"1716","Alexander",2017,9
"1717","Alexander",2018,9
"1718","Alexander",2019,12
"1719","Alexander",2020,5
"1720","Alexander",2021,8
"1750","Alexander",2008,38
"1751","Alexander",2009,21
"1752","Alexander",2010,39
"1753","Alexander",2011,61
"1754","Alexander",2012,44
"1755","Alexander",2013,5
"1756","Alexander",2014,12
"1757","Alexander",2015,48
"1758","Alexander",2016,36
"1759","Alexander",2017,13
"1760","Alexander",2018,27
"1761","Alexander",2019,22
"1762","Alexander",2020,12
"1763","Alexander",2021,19
"1793","Alexander",2008,38
"1794","Alexander",2009,21
"1795","Alexander",2010,40
"1796","Alexander",2011,62
"1797","Alexander",2012,43
"1798","Alexander",2013,4
"1799","Alexander",2014,10
"1800","Alexander",2015,45
"1801","Alexander",2016,36
"1802","Alexander",2017,13
"1803","Alexander",2018,25
"1804","Alexander",2019,23
"1805","Alexander",2020,13
"1806","Alexander",2021,19
"1836","Alexander",2008,35
"1837","Alexander",2009,17
"1838","Alexander",2010,34
"1839","Alexander",2011,51
"1840","Alexander",2012,38
"1841","Alexander",2013,4
"1842","Alexander",2014,6
"1843","Alexander",2015,41
"1844","Alexander",2016,35
"1845","Alexander",2017,10
"1846","Alexander",2018,15
"1847","Alexander",2019,18
"1848","Alexander",2020,8
"1849","Alexander",2021,14
"1879","Alleghany",2008,0
"1880","Alleghany",2009,0
"1881","Alleghany",2010,0
"1882","Alleghany",2011,2
"1883","Alleghany",2012,3
"1884","Alleghany",2013,0
"1885","Alleghany",2014,0
"1886","Alleghany",2015,0
"1887","Alleghany",2016,0
"1888","Alleghany",2017,0
"1889","Alleghany",2018,0
"1890","Alleghany",2019,0
"1891","Alleghany",2020,0
"1892","Alleghany",2021,0
"1922","Alleghany",2008,0
"1923","Alleghany",2009,0
"1924","Alleghany",2010,0
"1925","Alleghany",2011,0
"1926","Alleghany",2012,2
"1927","Alleghany",2013,0
"1928","Alleghany",2014,0
"1929","Alleghany",2015,0
"1930","Alleghany",2016,0
"1931","Alleghany",2017,0
"1932","Alleghany",2018,0
"1933","Alleghany",2019,0
"1934","Alleghany",2020,0
"1935","Alleghany",2021,0
"1965","Alleghany",2008,0
"1966","Alleghany",2009,0
"1967","Alleghany",2010,0
"1968","Alleghany",2011,0
"1969","Alleghany",2012,1
"1970","Alleghany",2013,0
"1971","Alleghany",2014,0
"1972","Alleghany",2015,0
"1973","Alleghany",2016,0
"1974","Alleghany",2017,0
"1975","Alleghany",2018,0
"1976","Alleghany",2019,0
"1977","Alleghany",2020,0
"1978","Alleghany",2021,0
"2008","Anson",2008,59
"2009","Anson",2009,93
"2010","Anson",2010,94
"2011","Anson",2011,99
"2012","Anson",2012,67
"2013","Anson",2013,20
"2014","Anson",2014,61
"2015","Anson",2015,75
"2016","Anson",2016,77
"2017","Anson",2017,46
"2018","Anson",2018,74
"2019","Anson",2019,79
"2020","Anson",2020,46
"2021","Anson",2021,54
"2051","Anson",2008,61
"2052","Anson",2009,92
"2053","Anson",2010,94
"2054","Anson",2011,99
"2055","Anson",2012,73
"2056","Anson",2013,19
"2057","Anson",2014,57
"2058","Anson",2015,74
"2059","Anson",2016,79
"2060","Anson",2017,49
"2061","Anson",2018,76
"2062","Anson",2019,77
"2063","Anson",2020,47
"2064","Anson",2021,54
"2094","Anson",2008,56
