"","County","Year","Count_ExHeat_Days","NC_Annual_Agv_ExHeatDays"
"1","Alamance",2008,39,30.37
"2","Alamance",2009,30,39.34
"3","Alamance",2010,65,52.17
"4","Alamance",2011,86,57.02
"5","Alamance",2012,59,38.38
"6","Alamance",2013,12,9.82
"7","Alamance",2014,37,29.04
"8","Alamance",2015,50,35.98
"9","Alamance",2016,45,35
"10","Alamance",2017,28,18.68
"11","Alamance",2018,41,26.5
"12","Alamance",2019,31,34.61
"13","Alamance",2020,29,20.97
"14","Alamance",2021,27,20.6
"15","Alexander",2008,32,30.37
"16","Alexander",2009,12,39.34
"17","Alexander",2010,32,52.17
"18","Alexander",2011,51,57.02
"19","Alexander",2012,34,38.38
"20","Alexander",2013,3,9.82
"21","Alexander",2014,6,29.04
"22","Alexander",2015,40,35.98
"23","Alexander",2016,29,35
"24","Alexander",2017,10,18.68
"25","Alexander",2018,13,26.5
"26","Alexander",2019,15,34.61
"27","Alexander",2020,7,20.97
"28","Alexander",2021,14,20.6
"29","Alleghany",2008,0,30.37
"30","Alleghany",2009,0,39.34
"31","Alleghany",2010,0,52.17
"32","Alleghany",2011,0,57.02
"33","Alleghany",2012,2,38.38
"34","Alleghany",2013,0,9.82
"35","Alleghany",2014,0,29.04
"36","Alleghany",2015,0,35.98
"37","Alleghany",2016,0,35
"38","Alleghany",2017,0,18.68
"39","Alleghany",2018,0,26.5
"40","Alleghany",2019,0,34.61
"41","Alleghany",2020,0,20.97
"42","Alleghany",2021,0,20.6
"43","Anson",2008,57,30.37
"44","Anson",2009,93,39.34
"45","Anson",2010,93,52.17
"46","Anson",2011,99,57.02
"47","Anson",2012,67,38.38
"48","Anson",2013,17,9.82
"49","Anson",2014,56,29.04
"50","Anson",2015,72,35.98
"51","Anson",2016,77,35
"52","Anson",2017,45,18.68
"53","Anson",2018,73,26.5
"54","Anson",2019,77,34.61
"55","Anson",2020,43,20.97
"56","Anson",2021,54,20.6
"57","Ashe",2008,0,30.37
"58","Ashe",2009,0,39.34
"59","Ashe",2010,0,52.17
"60","Ashe",2011,0,57.02
"61","Ashe",2012,0,38.38
"62","Ashe",2013,0,9.82
"63","Ashe",2014,0,29.04
"64","Ashe",2015,0,35.98
"65","Ashe",2016,0,35
"66","Ashe",2017,0,18.68
"67","Ashe",2018,0,26.5
"68","Ashe",2019,0,34.61
"69","Ashe",2020,0,20.97
"70","Ashe",2021,0,20.6
"71","Avery",2008,0,30.37
"72","Avery",2009,0,39.34
"73","Avery",2010,0,52.17
"74","Avery",2011,0,57.02
"75","Avery",2012,0,38.38
"76","Avery",2013,0,9.82
"77","Avery",2014,0,29.04
"78","Avery",2015,0,35.98
"79","Avery",2016,0,35
"80","Avery",2017,0,18.68
"81","Avery",2018,0,26.5
"82","Avery",2019,0,34.61
"83","Avery",2020,0,20.97
"84","Avery",2021,0,20.6
"85","Beaufort",2008,37,30.37
"86","Beaufort",2009,65,39.34
"87","Beaufort",2010,72,52.17
"88","Beaufort",2011,71,57.02
"89","Beaufort",2012,43,38.38
"90","Beaufort",2013,17,9.82
"91","Beaufort",2014,41,29.04
"92","Beaufort",2015,35,35.98
"93","Beaufort",2016,35,35
"94","Beaufort",2017,17,18.68
"95","Beaufort",2018,19,26.5
"96","Beaufort",2019,49,34.61
"97","Beaufort",2020,28,20.97
"98","Beaufort",2021,18,20.6
"99","Bertie",2008,43,30.37
"100","Bertie",2009,50,39.34
"101","Bertie",2010,70,52.17
"102","Bertie",2011,72,57.02
"103","Bertie",2012,44,38.38
"104","Bertie",2013,22,9.82
"105","Bertie",2014,46,29.04
"106","Bertie",2015,42,35.98
"107","Bertie",2016,38,35
"108","Bertie",2017,18,18.68
"109","Bertie",2018,25,26.5
"110","Bertie",2019,54,34.61
"111","Bertie",2020,33,20.97
