"X","County","Year","urban_level","annual_COPD_deaths_per100000","annual_asthma_ED_visits","Median.AQI","Count_ExHeat_Days"
1,"Alamance",2008,4,86.5,692,50,39
2,"Alamance",2009,4,82.9,759,42,30
3,"Alamance",2010,4,66.2,719,43,65
4,"Alamance",2011,4,82.2,748,43,86
5,"Alamance",2012,4,80.5,740,37,59
6,"Alamance",2013,4,77.2,750,31,12
7,"Alamance",2014,4,75.3,756,35,37
8,"Alamance",2015,4,81.5,739,32,50
9,"Alexander",2008,3,78.7,174,46,32
10,"Alexander",2009,3,91.2,149,38,12
11,"Alexander",2010,3,77.1,125,46,32
12,"Alexander",2011,3,115.2,82,46,51
13,"Alexander",2012,3,90.1,129,44,34
14,"Alexander",2013,3,96.4,112,40,3
15,"Alexander",2014,3,101.2,165,40,6
16,"Alexander",2015,3,136.1,112,43,40
17,"Alexander",2016,3,97.3,114,39,29
18,"Alexander",2017,3,110.2,131,38,10
19,"Alexander",2018,3,55.6,152,40,13
20,"Alexander",2019,3,66.6,129,39,15
21,"Alexander",2020,3,73.9,74,33,7
22,"Avery",2008,6,93.5,21,44,0
24,"Avery",2010,6,136.1,60,44,0
25,"Avery",2011,6,122,72,43,0
26,"Avery",2012,6,125.8,79,42,0
27,"Avery",2013,6,64.3,94,40,0
28,"Avery",2014,6,101.2,81,40,0
29,"Avery",2015,6,114,119,40,0
30,"Avery",2016,6,87,88,41,0
31,"Avery",2017,6,86.2,145,40,0
32,"Avery",2018,6,100.7,192,38,0
33,"Avery",2019,6,168.4,189,40,0
34,"Avery",2020,6,98.7,164,37,0
40,"Buncombe",2013,3,69.4,822,36,0
42,"Buncombe",2015,3,75.2,517,36,0
43,"Buncombe",2016,3,70.6,639,38,0
44,"Buncombe",2017,3,70.3,744,39,0
46,"Buncombe",2019,3,57,698,38,0
47,"Buncombe",2020,3,51.8,680,31,0
48,"Caldwell",2008,3,93.7,420,48,25
49,"Caldwell",2009,3,89,456,37,6
50,"Caldwell",2010,3,105.2,507,44,18
51,"Caldwell",2011,3,106.8,394,45,37
52,"Caldwell",2012,3,106.7,378,42,21
53,"Caldwell",2013,3,114,267,37,0
54,"Caldwell",2014,3,99.2,318,38,2
55,"Caldwell",2015,3,84.7,285,42,22
56,"Caldwell",2016,3,123.5,290,43,12
57,"Caldwell",2017,3,121.6,361,42,4
58,"Caldwell",2018,3,88.1,603,39,3
