"","CountyFIPS","County","Year","annual_asthma_ED_visits"
"1",37001,"Alamance",2008,"692"
"2",37001,"Alamance",2009,"759"
"3",37001,"Alamance",2010,"719"
"4",37001,"Alamance",2011,"748"
"5",37001,"Alamance",2012,"740"
"6",37001,"Alamance",2013,"750"
"7",37001,"Alamance",2014,"756"
"8",37001,"Alamance",2015,"739"
"9",37001,"Alamance",2016,"627"
"10",37001,"Alamance",2017,"1,492"
"11",37001,"Alamance",2018,"2,434"
"12",37001,"Alamance",2019,"1,782"
"13",37001,"Alamance",2020,"1,370"
"14",37001,"Alamance",2021,"926"
"15",37003,"Alexander",2008,"174"
"16",37003,"Alexander",2009,"149"
"17",37003,"Alexander",2010,"125"
"18",37003,"Alexander",2011,"82"
"19",37003,"Alexander",2012,"129"
"20",37003,"Alexander",2013,"112"
"21",37003,"Alexander",2014,"165"
"22",37003,"Alexander",2015,"112"
"23",37003,"Alexander",2016,"114"
"24",37003,"Alexander",2017,"131"
"25",37003,"Alexander",2018,"152"
"26",37003,"Alexander",2019,"129"
"27",37003,"Alexander",2020,"74"
"28",37003,"Alexander",2021,"108"
"29",37005,"Alleghany",2008,"18"
"30",37005,"Alleghany",2009,"19"
"31",37005,"Alleghany",2010,"16"
"32",37005,"Alleghany",2011,"18"
"33",37005,"Alleghany",2012,"47"
"34",37005,"Alleghany",2013,"38"
"35",37005,"Alleghany",2014,"40"
"36",37005,"Alleghany",2015,"45"
"37",37005,"Alleghany",2016,"17"
"38",37005,"Alleghany",2017,"13"
"39",37005,"Alleghany",2018,"30"
"40",37005,"Alleghany",2019,"21"
"41",37005,"Alleghany",2020,"17"
"42",37005,"Alleghany",2021,"20"
"43",37007,"Anson",2008,"269"
"44",37007,"Anson",2009,"279"
"45",37007,"Anson",2010,"255"
"46",37007,"Anson",2011,"212"
"47",37007,"Anson",2012,"231"
"48",37007,"Anson",2013,"134"
"49",37007,"Anson",2014,"210"
"50",37007,"Anson",2015,"168"
"51",37007,"Anson",2016,"130"
"52",37007,"Anson",2017,"143"
"53",37007,"Anson",2018,"205"
"54",37007,"Anson",2019,"130"
"55",37007,"Anson",2020,"107"
"56",37007,"Anson",2021,"70"
"57",37009,"Ashe",2008,"68"
"58",37009,"Ashe",2009,"97"
"59",37009,"Ashe",2010,"74"
"60",37009,"Ashe",2011,"86"
"61",37009,"Ashe",2012,"66"
"62",37009,"Ashe",2013,"75"
"63",37009,"Ashe",2014,"64"
"64",37009,"Ashe",2015,"62"
"65",37009,"Ashe",2016,"68"
"66",37009,"Ashe",2017,"105"
"67",37009,"Ashe",2018,"158"
"68",37009,"Ashe",2019,"101"
"69",37009,"Ashe",2020,"106"
"70",37009,"Ashe",2021,"89"
"71",37011,"Avery",2008,"21"
"72",37011,"Avery",2009,"66"
"73",37011,"Avery",2010,"60"
"74",37011,"Avery",2011,"72"
"75",37011,"Avery",2012,"79"
"76",37011,"Avery",2013,"94"
"77",37011,"Avery",2014,"81"
"78",37011,"Avery",2015,"119"
"79",37011,"Avery",2016,"88"
"80",37011,"Avery",2017,"145"
"81",37011,"Avery",2018,"192"
"82",37011,"Avery",2019,"189"
"83",37011,"Avery",2020,"164"
"84",37011,"Avery",2021,"91"
"85",37013,"Beaufort",2008,"264"
"86",37013,"Beaufort",2009,"189"
"87",37013,"Beaufort",2010,"206"
"88",37013,"Beaufort",2011,"199"
"89",37013,"Beaufort",2012,"261"
"90",37013,"Beaufort",2013,"294"
"91",37013,"Beaufort",2014,"191"
"92",37013,"Beaufort",2015,"204"
"93",37013,"Beaufort",2016,"207"
"94",37013,"Beaufort",2017,"275"
"95",37013,"Beaufort",2018,"309"
"96",37013,"Beaufort",2019,"232"
"97",37013,"Beaufort",2020,"149"
"98",37013,"Beaufort",2021,"127"
"99",37015,"Bertie",2008,"174"
"100",37015,"Bertie",2009,"121"
"101",37015,"Bertie",2010,"167"
"102",37015,"Bertie",2011,"168"
"103",37015,"Bertie",2012,"184"
"104",37015,"Bertie",2013,"178"
"105",37015,"Bertie",2014,"217"
"106",37015,"Bertie",2015,"151"
"107",37015,"Bertie",2016,"192"
"108",37015,"Bertie",2017,"194"
"109",37015,"Bertie",2018,"190"
"110",37015,"Bertie",2019,"189"
"111",37015,"Bertie",2020,"129"
"112",37015,"Bertie",2021,"96"
"113",37017,"Bladen",2008,"198"
"114",37017,"Bladen",2009,"185"
"115",37017,"Bladen",2010,"320"
"116",37017,"Bladen",2011,"295"
"117",37017,"Bladen",2012,"334"
