"","CountyFIPS","County","Year","annual_COPD_deaths_per100000"
"1",37001,"Alamance",2000,"58.7"
"2",37001,"Alamance",2001,"84.4"
"3",37001,"Alamance",2002,"73.4"
"4",37001,"Alamance",2003,"77.9"
"5",37001,"Alamance",2004,"64.6"
"6",37001,"Alamance",2005,"73.4"
"7",37001,"Alamance",2006,"65.4"
"8",37001,"Alamance",2007,"71.4"
"9",37001,"Alamance",2008,"86.5"
"10",37001,"Alamance",2009,"82.9"
"11",37001,"Alamance",2010,"66.2"
"12",37001,"Alamance",2011,"82.2"
"13",37001,"Alamance",2012,"80.5"
"14",37001,"Alamance",2013,"77.2"
"15",37001,"Alamance",2014,"75.3"
"16",37001,"Alamance",2015,"81.5"
"17",37001,"Alamance",2016,"89.5"
"18",37001,"Alamance",2017,"59.9"
"19",37001,"Alamance",2018,"73.5"
"20",37001,"Alamance",2019,"77.6"
"21",37001,"Alamance",2020,"77.9"
"22",37003,"Alexander",2000,"58.9"
"23",37003,"Alexander",2001,"53.7"
"24",37003,"Alexander",2002,"85.0"
"25",37003,"Alexander",2003,"Suppressed"
"26",37003,"Alexander",2004,"59.1"
"27",37003,"Alexander",2005,"89.2"
"28",37003,"Alexander",2006,"67.9"
"29",37003,"Alexander",2007,"93.8"
"30",37003,"Alexander",2008,"78.7"
"31",37003,"Alexander",2009,"91.2"
"32",37003,"Alexander",2010,"77.1"
"33",37003,"Alexander",2011,"115.2"
"34",37003,"Alexander",2012,"90.1"
"35",37003,"Alexander",2013,"96.4"
"36",37003,"Alexander",2014,"101.2"
"37",37003,"Alexander",2015,"136.1"
"38",37003,"Alexander",2016,"97.3"
"39",37003,"Alexander",2017,"110.2"
"40",37003,"Alexander",2018,"55.6"
"41",37003,"Alexander",2019,"66.6"
"42",37003,"Alexander",2020,"73.9"
"43",37005,"Alleghany",2000,"101.4"
"44",37005,"Alleghany",2001,"Suppressed"
"45",37005,"Alleghany",2002,"Suppressed"
"46",37005,"Alleghany",2003,"Suppressed"
"47",37005,"Alleghany",2004,"Suppressed"
"48",37005,"Alleghany",2005,"Suppressed"
"49",37005,"Alleghany",2006,"99.7"
"50",37005,"Alleghany",2007,"125.6"
"51",37005,"Alleghany",2008,"Suppressed"
"52",37005,"Alleghany",2009,"Suppressed"
"53",37005,"Alleghany",2010,"Suppressed"
"54",37005,"Alleghany",2011,"83.5"
"55",37005,"Alleghany",2012,"Suppressed"
"56",37005,"Alleghany",2013,"Suppressed"
"57",37005,"Alleghany",2014,"79.5"
"58",37005,"Alleghany",2015,"Suppressed"
"59",37005,"Alleghany",2016,"Suppressed"
"60",37005,"Alleghany",2017,"79.0"
"61",37005,"Alleghany",2018,"Suppressed"
"62",37005,"Alleghany",2019,"Suppressed"
"63",37005,"Alleghany",2020,"141.1"
"64",37007,"Anson",2000,"Suppressed"
"65",37007,"Anson",2001,"Suppressed"
"66",37007,"Anson",2002,"57.9"
"67",37007,"Anson",2003,"Suppressed"
"68",37007,"Anson",2004,"Suppressed"
"69",37007,"Anson",2005,"87.3"
"70",37007,"Anson",2006,"54.7"
"71",37007,"Anson",2007,"72.6"
"72",37007,"Anson",2008,"57.7"
"73",37007,"Anson",2009,"46.1"
"74",37007,"Anson",2010,"64.2"
"75",37007,"Anson",2011,"64.1"
"76",37007,"Anson",2012,"75.6"
"77",37007,"Anson",2013,"81.1"
"78",37007,"Anson",2014,"Suppressed"
"79",37007,"Anson",2015,"96.1"
"80",37007,"Anson",2016,"89.6"
"81",37007,"Anson",2017,"62.7"
"82",37007,"Anson",2018,"86.7"
"83",37007,"Anson",2019,"83.5"
"84",37007,"Anson",2020,"61.0"
"85",37009,"Ashe",2000,"107.9"
"86",37009,"Ashe",2001,"85.6"
"87",37009,"Ashe",2002,"81.5"
"88",37009,"Ashe",2003,"127.0"
"89",37009,"Ashe",2004,"92.1"
"90",37009,"Ashe",2005,"99.4"
"91",37009,"Ashe",2006,"55.5"
"92",37009,"Ashe",2007,"126.6"
"93",37009,"Ashe",2008,"57.4"
"94",37009,"Ashe",2009,"90.4"
"95",37009,"Ashe",2010,"102.3"
"96",37009,"Ashe",2011,"80.5"
"97",37009,"Ashe",2012,"66.5"
"98",37009,"Ashe",2013,"122.1"
"99",37009,"Ashe",2014,"93.6"
"100",37009,"Ashe",2015,"62.8"
"101",37009,"Ashe",2016,"63.2"
"102",37009,"Ashe",2017,"99.4"
"103",37009,"Ashe",2018,"86.4"
"104",37009,"Ashe",2019,"74.6"
"105",37009,"Ashe",2020,"97.0"
"106",37011,"Avery",2000,"73.5"
"107",37011,"Avery",2001,"110.0"
"108",37011,"Avery",2002,"98.5"
"109",37011,"Avery",2003,"117.2"
"110",37011,"Avery",2004,"Suppressed"
"111",37011,"Avery",2005,"155.1"
"112",37011,"Avery",2006,"94.5"
"113",37011,"Avery",2007,"67.6"
"114",37011,"Avery",2008,"93.5"
"115",37011,"Avery",2009,"Suppressed"
"116",37011,"Avery",2010,"136.1"
"117",37011,"Avery",2011,"122.0"
"118",37011,"Avery",2012,"125.8"
"119",37011,"Avery",2013,"64.3"
"120",37011,"Avery",2014,"101.2"
"121",37011,"Avery",2015,"114.0"
"122",37011,"Avery",2016,"87.0"
"123",37011,"Avery",2017,"86.2"
"124",37011,"Avery",2018,"100.7"
"125",37011,"Avery",2019,"168.4"
"126",37011,"Avery",2020,"98.7"
"127",37013,"Beaufort",2000,"86.2"
"128",37013,"Beaufort",2001,"75.5"
"129",37013,"Beaufort",2002,"95.9"
"130",37013,"Beaufort",2003,"38.4"
"131",37013,"Beaufort",2004,"75.4"
"132",37013,"Beaufort",2005,"43.3"
"133",37013,"Beaufort",2006,"64.8"
"134",37013,"Beaufort",2007,"51.3"
"135",37013,"Beaufort",2008,"49.2"
"136",37013,"Beaufort",2009,"60.0"
"137",37013,"Beaufort",2010,"89.7"
"138",37013,"Beaufort",2011,"82.7"
"139",37013,"Beaufort",2012,"66.3"
"140",37013,"Beaufort",2013,"91.2"
