"","State","County","Date","Avg_Monthly_Temp"
"1","North Carolina","Orange","May 1979",74.3225806451613
"2","North Carolina","Orange","June 1979",79.1166666666667
"3","North Carolina","Orange","July 1979",83.7774193548387
"4","North Carolina","Orange","August 1979",85.4677419354839
"5","North Carolina","Orange","September 1979",77.4433333333333
"6","North Carolina","Orange","May 1980",76.6838709677419
"7","North Carolina","Orange","June 1980",81.7066666666667
"8","North Carolina","Orange","July 1980",89.1193548387097
"9","North Carolina","Orange","August 1980",89.2290322580645
"10","North Carolina","Orange","September 1980",83.4033333333333
"11","North Carolina","Orange","May 1981",74.6935483870968
"12","North Carolina","Orange","June 1981",89.6966666666667
"13","North Carolina","Orange","July 1981",88.5838709677419
"14","North Carolina","Orange","August 1981",84.3258064516129
"15","North Carolina","Orange","September 1981",78.53
"16","North Carolina","Orange","May 1982",79.3516129032258
"17","North Carolina","Orange","June 1982",80.78
"18","North Carolina","Orange","July 1982",84.8935483870968
"19","North Carolina","Orange","August 1982",83.8354838709677
"20","North Carolina","Orange","September 1982",79.21
"21","North Carolina","Orange","May 1983",73.1322580645161
"22","North Carolina","Orange","June 1983",80.91
"23","North Carolina","Orange","July 1983",88.2935483870968
"24","North Carolina","Orange","August 1983",88.7096774193548
"25","North Carolina","Orange","September 1983",80.3766666666667
"26","North Carolina","Orange","May 1984",73.5483870967742
"27","North Carolina","Orange","June 1984",84.6933333333333
"28","North Carolina","Orange","July 1984",82.9548387096774
"29","North Carolina","Orange","August 1984",84.7612903225806
"30","North Carolina","Orange","September 1984",76.81
"31","North Carolina","Orange","May 1985",77.0967741935484
"32","North Carolina","Orange","June 1985",84.08
"33","North Carolina","Orange","July 1985",85.6161290322581
"34","North Carolina","Orange","August 1985",83.1612903225806
"35","North Carolina","Orange","September 1985",80.16
"36","North Carolina","Orange","May 1986",76.5
"37","North Carolina","Orange","June 1986",88.07
"38","North Carolina","Orange","July 1986",93.9290322580645
"39","North Carolina","Orange","August 1986",84.4935483870968
"40","North Carolina","Orange","September 1986",81.4433333333333
"41","North Carolina","Orange","May 1987",78.0064516129032
"42","North Carolina","Orange","June 1987",85.0333333333333
"43","North Carolina","Orange","July 1987",89.4774193548387
"44","North Carolina","Orange","August 1987",87.8064516129032
"45","North Carolina","Orange","September 1987",80.31
"46","North Carolina","Orange","May 1988",76.5741935483871
"47","North Carolina","Orange","June 1988",84.92
"48","North Carolina","Orange","July 1988",89.8903225806452
"49","North Carolina","Orange","August 1988",89.7
"50","North Carolina","Orange","September 1988",79.81
"51","North Carolina","Orange","May 1989",72.9193548387097
"52","North Carolina","Orange","June 1989",83.91
"53","North Carolina","Orange","July 1989",84.9612903225807
"54","North Carolina","Orange","August 1989",82.6258064516129
"55","North Carolina","Orange","September 1989",77.59
"56","North Carolina","Orange","May 1990",74.9774193548387
"57","North Carolina","Orange","June 1990",83.9766666666667
"58","North Carolina","Orange","July 1990",87.441935483871
"59","North Carolina","Orange","August 1990",85.841935483871
"60","North Carolina","Orange","September 1990",82.08
"61","North Carolina","Orange","May 1991",79.6161290322581
"62","North Carolina","Orange","June 1991",83.4033333333333
"63","North Carolina","Orange","July 1991",88.3161290322581
"64","North Carolina","Orange","August 1991",86
"65","North Carolina","Orange","September 1991",80.9066666666667
"66","North Carolina","Orange","May 1992",72.0870967741936
"67","North Carolina","Orange","June 1992",80
"68","North Carolina","Orange","July 1992",89.1451612903226
"69","North Carolina","Orange","August 1992",83.3612903225806
"70","North Carolina","Orange","September 1992",79.8333333333333
"71","North Carolina","Orange","May 1993",76.1354838709677
"72","North Carolina","Orange","June 1993",84.57
"73","North Carolina","Orange","July 1993",90.4741935483871
"74","North Carolina","Orange","August 1993",86.7645161290323
"75","North Carolina","Orange","September 1993",81.9866666666667
"76","North Carolina","Orange","May 1994",72.0193548387097
"77","North Carolina","Orange","June 1994",84.38
"78","North Carolina","Orange","July 1994",86.0741935483871
"79","North Carolina","Orange","August 1994",84.2096774193548
"80","North Carolina","Orange","September 1994",78.4066666666667
"81","North Carolina","Orange","May 1995",76.6193548387097
"82","North Carolina","Orange","June 1995",80.7933333333333
"83","North Carolina","Orange","July 1995",87.9322580645161
"84","North Carolina","Orange","August 1995",86.7741935483871
"85","North Carolina","Orange","September 1995",77.91
"86","North Carolina","Orange","May 1996",77.3064516129032
"87","North Carolina","Orange","June 1996",83.67
"88","North Carolina","Orange","July 1996",85.9483870967742
"89","North Carolina","Orange","August 1996",82.7935483870968
"90","North Carolina","Orange","September 1996",77.4333333333333
"91","North Carolina","Orange","May 1997",71.2806451612903
"92","North Carolina","Orange","June 1997",78.9833333333333
"93","North Carolina","Orange","July 1997",86.4193548387097
"94","North Carolina","Orange","August 1997",84.8
"95","North Carolina","Orange","September 1997",78.8933333333333
"96","North Carolina","Orange","May 1998",76.9870967741935
"97","North Carolina","Orange","June 1998",85.29
"98","North Carolina","Orange","July 1998",86.5225806451613
"99","North Carolina","Orange","August 1998",86.0387096774193
"100","North Carolina","Orange","September 1998",84.18
"101","North Carolina","Orange","May 1999",76.3064516129032
"102","North Carolina","Orange","June 1999",82.4666666666667
"103","North Carolina","Orange","July 1999",90.5967741935484
"104","North Carolina","Orange","August 1999",90.8258064516129
"105","North Carolina","Orange","September 1999",77.3
"106","North Carolina","Orange","May 2000",79.9290322580645
"107","North Carolina","Orange","June 2000",85.4866666666667
"108","North Carolina","Orange","July 2000",84.0548387096774
"109","North Carolina","Orange","August 2000",84.7451612903226
"110","North Carolina","Orange","September 2000",77.8766666666667
"111","North Carolina","Orange","May 2001",76.4290322580645
"112","North Carolina","Orange","June 2001",83.51
"113","North Carolina","Orange","July 2001",83.7354838709677
"114","North Carolina","Orange","August 2001",87.1741935483871
"115","North Carolina","Orange","September 2001",77.9466666666667
"116","North Carolina","Orange","May 2002",77.4967741935484
"117","North Carolina","Orange","June 2002",89.6466666666667
"118","North Carolina","Orange","July 2002",91.3064516129032
"119","North Carolina","Orange","August 2002",90.4387096774194
"120","North Carolina","Orange","September 2002",83.0466666666667
"121","North Carolina","Orange","May 2003",73.8354838709677
"122","North Carolina","Orange","June 2003",81.28
"123","North Carolina","Orange","July 2003",85.3322580645161
"124","North Carolina","Orange","August 2003",85.4064516129032
"125","North Carolina","Orange","September 2003",77.5033333333333
"126","North Carolina","Orange","May 2004",80.9645161290323
"127","North Carolina","Orange","June 2004",82.8766666666667
"128","North Carolina","Orange","July 2004",86.4129032258064
"129","North Carolina","Orange","August 2004",82.7451612903226
"130","North Carolina","Orange","September 2004",78.3533333333333
"131","North Carolina","Orange","May 2005",73.0451612903226
"132","North Carolina","Orange","June 2005",82.9066666666667
"133","North Carolina","Orange","July 2005",89.8516129032258
"134","North Carolina","Orange","August 2005",88.4516129032258
"135","North Carolina","Orange","September 2005",85.7
"136","North Carolina","Orange","May 2006",76.2322580645161
"137","North Carolina","Orange","June 2006",83.2733333333333
"138","North Carolina","Orange","July 2006",89.2741935483871
"139","North Carolina","Orange","August 2006",89.4967741935484
"140","North Carolina","Orange","September 2006",78.4966666666667
"141","North Carolina","Orange","May 2007",76.7387096774194
"142","North Carolina","Orange","June 2007",85.68
"143","North Carolina","Orange","July 2007",88.7225806451613
"144","North Carolina","Orange","August 2007",96.7548387096774
"145","North Carolina","Orange","September 2007",88.0366666666667
"146","North Carolina","Orange","May 2008",75.658064516129
"147","North Carolina","Orange","June 2008",89.6933333333333
"148","North Carolina","Orange","July 2008",88.9096774193548
"149","North Carolina","Orange","August 2008",87.9225806451613
"150","North Carolina","Orange","September 2008",80.4766666666667
"151","North Carolina","Orange","May 2009",77.4193548387097
"152","North Carolina","Orange","June 2009",87.4833333333333
"153","North Carolina","Orange","July 2009",89.0387096774193
"154","North Carolina","Orange","August 2009",90.7870967741935
"155","North Carolina","Orange","September 2009",81.97
"156","North Carolina","Orange","May 2010",79.7451612903226
"157","North Carolina","Orange","June 2010",89.7966666666667
"158","North Carolina","Orange","July 2010",91.6870967741935
"159","North Carolina","Orange","August 2010",90.7967741935484
"160","North Carolina","Orange","September 2010",87.6766666666667
"161","North Carolina","Orange","May 2011",80.0483870967742
"162","North Carolina","Orange","June 2011",92.2366666666667
"163","North Carolina","Orange","July 2011",95.7774193548387
"164","North Carolina","Orange","August 2011",93.5354838709677
"165","North Carolina","Orange","September 2011",82.5833333333333
"166","North Carolina","Orange","May 2012",81.7258064516129
"167","North Carolina","Orange","June 2012",87.1533333333333
"168","North Carolina","Orange","July 2012",95.858064516129
"169","North Carolina","Orange","August 2012",90.7838709677419
"170","North Carolina","Orange","September 2012",82.1033333333333
"171","North Carolina","Orange","May 2013",76.3064516129032
"172","North Carolina","Orange","June 2013",85.1366666666667
