"","County","Year","Days.with.AQI","Median.AQI","Max.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days"
"1","Alexander",2021,245,41,80,212,33,0,0,0,0
"2","Avery",2021,364,40,74,333,31,0,0,0,0
"3","Buncombe",2021,365,35,78,320,45,0,0,0,0
"4","Caldwell",2021,243,40,77,219,24,0,0,0,0
"5","Carteret",2021,352,35,97,337,15,0,0,0,0
"6","Caswell",2021,250,38,80,240,10,0,0,0,0
"7","Catawba",2021,344,35,93,267,77,0,0,0,0
"8","Cumberland",2021,365,41,107,285,79,1,0,0,0
"9","Davidson",2021,343,35,97,263,80,0,0,0,0
"10","Durham",2021,365,39,90,306,59,0,0,0,0
"11","Edgecombe",2021,363,36,90,322,41,0,0,0,0
"12","Forsyth",2021,365,43,124,261,101,3,0,0,0
"13","Graham",2021,245,42,90,213,32,0,0,0,0
"14","Granville",2021,242,38,67,237,5,0,0,0,0
"15","Guilford",2021,365,40,100,284,81,0,0,0,0
"16","Haywood",2021,283,43,93,229,54,0,0,0,0
"17","Hyde",2021,107,16,50,107,0,0,0,0,0
"18","Jackson",2021,100,28,70,91,9,0,0,0,0
"19","Johnston",2021,365,39,97,298,67,0,0,0,0
"20","Lenoir",2021,306,34,97,284,22,0,0,0,0
"21","Lincoln",2021,243,42,97,205,38,0,0,0,0
"22","Macon",2021,359,30,67,347,12,0,0,0,0
"23","Martin",2021,296,32,74,291,5,0,0,0,0
"24","Mecklenburg",2021,365,44,128,253,110,2,0,0,0
"25","Mitchell",2021,356,23,79,338,18,0,0,0,0
"26","Montgomery",2021,365,37,103,312,52,1,0,0,0
"27","New Hanover",2021,360,34,93,322,38,0,0,0,0
"28","Northampton",2021,363,26,93,322,41,0,0,0,0
"29","Person",2021,245,41,90,220,25,0,0,0,0
"30","Pitt",2021,360,34,80,325,35,0,0,0,0
"31","Rockingham",2021,239,43,90,200,39,0,0,0,0
"32","Rowan",2021,364,41,87,287,77,0,0,0,0
"33","Swain",2021,354,37,147,303,50,1,0,0,0
"34","Union",2021,244,42,101,209,34,1,0,0,0
"35","Wake",2021,365,42,96,268,97,0,0,0,0
"36","Yancey",2021,240,44,90,186,54,0,0,0,0
"37","Alexander",2020,300,33,54,297,3,0,0,0,0
"38","Avery",2020,366,37,80,352,14,0,0,0,0
"39","Buncombe",2020,363,31,97,353,10,0,0,0,0
