FIPS,State,County,% Smokers,% Excessive Drinking
37000,North Carolina,,17,17
37001,North Carolina,Alamance,17,16
37003,North Carolina,Alexander,17,17
37005,North Carolina,Alleghany,17,14
37007,North Carolina,Anson,20,14
37009,North Carolina,Ashe,17,15
37011,North Carolina,Avery,17,17
37013,North Carolina,Beaufort,18,14
37015,North Carolina,Bertie,20,13
37017,North Carolina,Bladen,19,14
37019,North Carolina,Brunswick,15,15
37021,North Carolina,Buncombe,17,21
37023,North Carolina,Burke,17,16
37025,North Carolina,Cabarrus,16,19
37027,North Carolina,Caldwell,17,16
37029,North Carolina,Camden,16,19
37031,North Carolina,Carteret,16,16
37033,North Carolina,Caswell,18,15
37035,North Carolina,Catawba,16,17
37037,North Carolina,Chatham,14,16
37039,North Carolina,Cherokee,17,14
37041,North Carolina,Chowan,18,13
37043,North Carolina,Clay,16,14
37045,North Carolina,Cleveland,18,16
37047,North Carolina,Columbus,19,14
37049,North Carolina,Craven,16,18
37051,North Carolina,Cumberland,18,16
37053,North Carolina,Currituck,15,18
37055,North Carolina,Dare,16,18
37057,North Carolina,Davidson,18,16
37059,North Carolina,Davie,15,16
37061,North Carolina,Duplin,21,14
37063,North Carolina,Durham,15,17
37065,North Carolina,Edgecombe,21,12
37067,North Carolina,Forsyth,18,16
37069,North Carolina,Franklin,18,16
37071,North Carolina,Gaston,17,16
37073,North Carolina,Gates,16,16
37075,North Carolina,Graham,18,15
37077,North Carolina,Granville,17,16
37079,North Carolina,Greene,20,15
37081,North Carolina,Guilford,16,17
37083,North Carolina,Halifax,20,13
37085,North Carolina,Harnett,19,17
37087,North Carolina,Haywood,18,16
37089,North Carolina,Henderson,14,15
37091,North Carolina,Hertford,19,13
37093,North Carolina,Hoke,20,17
37095,North Carolina,Hyde,17,16
37097,North Carolina,Iredell,15,18
37099,North Carolina,Jackson,18,18
37101,North Carolina,Johnston,18,18
37103,North Carolina,Jones,19,14
37105,North Carolina,Lee,17,16
37107,North Carolina,Lenoir,19,13
37109,North Carolina,Lincoln,16,17
37111,North Carolina,McDowell,19,16
37113,North Carolina,Macon,16,15
37115,North Carolina,Madison,17,17
37117,North Carolina,Martin,19,14
37119,North Carolina,Mecklenburg,14,19
37121,North Carolina,Mitchell,16,16
37123,North Carolina,Montgomery,18,15
37125,North Carolina,Moore,14,16
37127,North Carolina,Nash,18,15
37129,North Carolina,New Hanover,16,21
37131,North Carolina,Northampton,19,12
37133,North Carolina,Onslow,18,22
37135,North Carolina,Orange,14,18
37137,North Carolina,Pamlico,16,15
37139,North Carolina,Pasquotank,18,16
37141,North Carolina,Pender,16,17
37143,North Carolina,Perquimans,17,14
37145,North Carolina,Person,18,15
37147,North Carolina,Pitt,17,17
37149,North Carolina,Polk,14,15
37151,North Carolina,Randolph,18,16
37153,North Carolina,Richmond,21,14
37155,North Carolina,Robeson,24,13
37157,North Carolina,Rockingham,18,16
37159,North Carolina,Rowan,17,16
37161,North Carolina,Rutherford,19,16
37163,North Carolina,Sampson,19,14
37165,North Carolina,Scotland,23,14
37167,North Carolina,Stanly,17,17
37169,North Carolina,Stokes,16,16
37171,North Carolina,Surry,17,15
37173,North Carolina,Swain,22,16
37175,North Carolina,Transylvania,16,14
37177,North Carolina,Tyrrell,21,14
37179,North Carolina,Union,15,19
37181,North Carolina,Vance,20,13
37183,North Carolina,Wake,12,20
37185,North Carolina,Warren,19,13
37187,North Carolina,Washington,19,12
37189,North Carolina,Watauga,18,19
37191,North Carolina,Wayne,18,15
37193,North Carolina,Wilkes,18,15
37195,North Carolina,Wilson,18,14
37197,North Carolina,Yadkin,18,17
37199,North Carolina,Yancey,17,15
