"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"37","North Carolina","37001","Alamance","2000","58.7","",
"37","North Carolina","37001","Alamance","2001","84.4","",
"37","North Carolina","37001","Alamance","2002","73.4","",
"37","North Carolina","37001","Alamance","2003","77.9","",
"37","North Carolina","37001","Alamance","2004","64.6","",
"37","North Carolina","37001","Alamance","2005","73.4","",
"37","North Carolina","37001","Alamance","2006","65.4","",
"37","North Carolina","37001","Alamance","2007","71.4","",
"37","North Carolina","37001","Alamance","2008","86.5","",
"37","North Carolina","37001","Alamance","2009","82.9","",
"37","North Carolina","37001","Alamance","2010","66.2","",
"37","North Carolina","37001","Alamance","2011","82.2","",
"37","North Carolina","37001","Alamance","2012","80.5","",
"37","North Carolina","37001","Alamance","2013","77.2","",
"37","North Carolina","37001","Alamance","2014","75.3","",
"37","North Carolina","37001","Alamance","2015","81.5","",
"37","North Carolina","37001","Alamance","2016","89.5","",
"37","North Carolina","37001","Alamance","2017","59.9","",
"37","North Carolina","37001","Alamance","2018","73.5","",
"37","North Carolina","37001","Alamance","2019","77.6","",
"37","North Carolina","37001","Alamance","2020","77.9","",
"37","North Carolina","37003","Alexander","2000","58.9","",
"37","North Carolina","37003","Alexander","2001","53.7","",
"37","North Carolina","37003","Alexander","2002","85.0","",
"37","North Carolina","37003","Alexander","2003","Suppressed","Unstable",
"37","North Carolina","37003","Alexander","2004","59.1","",
"37","North Carolina","37003","Alexander","2005","89.2","",
"37","North Carolina","37003","Alexander","2006","67.9","",
"37","North Carolina","37003","Alexander","2007","93.8","",
"37","North Carolina","37003","Alexander","2008","78.7","",
"37","North Carolina","37003","Alexander","2009","91.2","",
"37","North Carolina","37003","Alexander","2010","77.1","",
"37","North Carolina","37003","Alexander","2011","115.2","",
"37","North Carolina","37003","Alexander","2012","90.1","",
"37","North Carolina","37003","Alexander","2013","96.4","",
"37","North Carolina","37003","Alexander","2014","101.2","",
"37","North Carolina","37003","Alexander","2015","136.1","",
"37","North Carolina","37003","Alexander","2016","97.3","",
"37","North Carolina","37003","Alexander","2017","110.2","",
"37","North Carolina","37003","Alexander","2018","55.6","",
"37","North Carolina","37003","Alexander","2019","66.6","",
"37","North Carolina","37003","Alexander","2020","73.9","",
"37","North Carolina","37005","Alleghany","2000","101.4","Unstable",
"37","North Carolina","37005","Alleghany","2001","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2002","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2003","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2004","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2005","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2006","99.7","Unstable",
"37","North Carolina","37005","Alleghany","2007","125.6","",
"37","North Carolina","37005","Alleghany","2008","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2009","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2010","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2011","83.5","Unstable",
"37","North Carolina","37005","Alleghany","2012","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2013","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2014","79.5","Unstable",
"37","North Carolina","37005","Alleghany","2015","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2016","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2017","79.0","Unstable",
"37","North Carolina","37005","Alleghany","2018","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2019","Suppressed","Unstable",
"37","North Carolina","37005","Alleghany","2020","141.1","",
"37","North Carolina","37007","Anson","2000","Suppressed","Unstable",
"37","North Carolina","37007","Anson","2001","Suppressed","Unstable",
"37","North Carolina","37007","Anson","2002","57.9","Unstable",
"37","North Carolina","37007","Anson","2003","Suppressed","Unstable",
"37","North Carolina","37007","Anson","2004","Suppressed","Unstable",
"37","North Carolina","37007","Anson","2005","87.3","",
"37","North Carolina","37007","Anson","2006","54.7","Unstable",
"37","North Carolina","37007","Anson","2007","72.6","",
"37","North Carolina","37007","Anson","2008","57.7","",
"37","North Carolina","37007","Anson","2009","46.1","Unstable",
"37","North Carolina","37007","Anson","2010","64.2","",
"37","North Carolina","37007","Anson","2011","64.1","",
"37","North Carolina","37007","Anson","2012","75.6","",
"37","North Carolina","37007","Anson","2013","81.1","",
"37","North Carolina","37007","Anson","2014","Suppressed","Unstable",
