LocationID,Percent_COPD
37001,7.4
37003,8.1
37005,9.4
37007,8.6
37009,7.9
37011,8.3
37013,7.9
37015,8.8
37017,8.9
37019,6.5
37021,6.5
37023,8.5
37025,6.1
37027,8.7
37029,7.2
37031,6.7
37033,8
37035,7.2
37037,5.8
37039,8.4
37041,7.6
37043,7.8
37045,8.7
37047,9.2
37049,7.1
37051,7
37053,6.7
37055,6
37057,8.1
37059,7
37061,8.8
37063,5.6
37065,8.9
37067,6.6
37069,7.1
37071,7.8
37073,7.4
37075,9.2
37077,7.3
37079,8.7
37081,6.5
37083,9.6
37085,7.2
37087,7.3
37089,6.3
37091,8.4
37093,7.5
37095,8.9
37097,6.6
37099,7.7
37101,6.9
37103,9.5
37105,7.4
37107,8.8
37109,7
37111,8.3
37113,7.6
37115,7.7
37117,8.5
37119,5.4
37121,7.9
37123,8
37125,6.2
37127,7.3
37129,6.4
37131,8.8
37133,7.1
37135,5.3
37137,7.8
37139,7.4
37141,7
37143,7.7
37145,7.8
37147,7.3
37149,6.8
37151,8.3
37153,9.4
37155,10.8
37157,8.5
37159,7.8
37161,8.6
37163,8.3
37165,9.6
37167,7.8
37169,8.2
37171,8.6
37173,9.7
37175,7.3
37177,9
37179,6
37181,8.9
37183,4.9
37185,8.8
37187,8.7
37189,7.8
37191,7.9
37193,8.7
37195,8.3
37197,8.3
37199,8.3
