FIPS,State,County,TotUninsured,PctUninsured
37001,North Carolina,Alamance,16690,18
37003,North Carolina,Alexander,3476,17
37005,North Carolina,Alleghany,1309,22
37007,North Carolina,Anson,2191,16
37009,North Carolina,Ashe,2892,19
37011,North Carolina,Avery,2096,24
37013,North Carolina,Beaufort,4557,17
37015,North Carolina,Bertie,1676,16
37017,North Carolina,Bladen,3913,20
37019,North Carolina,Brunswick,11124,16
37021,North Carolina,Buncombe,25409,16
37023,North Carolina,Burke,9588,18
37025,North Carolina,Cabarrus,16833,13
37027,North Carolina,Caldwell,8409,17
37029,North Carolina,Camden,923,14
37031,North Carolina,Carteret,5958,15
37033,North Carolina,Caswell,1914,15
37035,North Carolina,Catawba,15459,16
37037,North Carolina,Chatham,6741,17
37039,North Carolina,Cherokee,2516,17
37041,North Carolina,Chowan,1112,14
37043,North Carolina,Clay,1054,18
37045,North Carolina,Cleveland,8482,15
37047,North Carolina,Columbus,5581,18
37049,North Carolina,Craven,7977,14
37051,North Carolina,Cumberland,26854,14
37053,North Carolina,Currituck,2453,15
37055,North Carolina,Dare,3337,15
37057,North Carolina,Davidson,15737,16
37059,North Carolina,Davie,3701,15
37061,North Carolina,Duplin,8300,24
37063,North Carolina,Durham,31630,16
37065,North Carolina,Edgecombe,4661,15
37067,North Carolina,Forsyth,36222,16
37069,North Carolina,Franklin,6853,17
37071,North Carolina,Gaston,19932,15
37073,North Carolina,Gates,948,14
37075,North Carolina,Graham,1085,23
37077,North Carolina,Granville,4796,14
37079,North Carolina,Greene,2545,23
37081,North Carolina,Guilford,46586,15
37083,North Carolina,Halifax,4806,17
37085,North Carolina,Harnett,13065,17
37087,North Carolina,Haywood,5080,15
37089,North Carolina,Henderson,11803,18
37091,North Carolina,Hertford,1851,15
37093,North Carolina,Hoke,6796,20
37095,North Carolina,Hyde,504,18
37097,North Carolina,Iredell,15399,14
37099,North Carolina,Jackson,5115,21
37101,North Carolina,Johnston,20988,18
37103,North Carolina,Jones,1049,19
37105,North Carolina,Lee,6774,19
37107,North Carolina,Lenoir,5549,17
37109,North Carolina,Lincoln,7665,15
37111,North Carolina,McDowell,4179,16
37113,North Carolina,Macon,3448,19
37115,North Carolina,Madison,1825,15
37117,North Carolina,Martin,1744,13
37119,North Carolina,Mecklenburg,108688,16
37121,North Carolina,Mitchell,1432,17
37123,North Carolina,Montgomery,3090,21
37125,North Carolina,Moore,7684,14
37127,North Carolina,Nash,8396,15
37129,North Carolina,New Hanover,20401,15
37131,North Carolina,Northampton,1485,14
37133,North Carolina,Onslow,12200,11
37135,North Carolina,Orange,11069,12
37137,North Carolina,Pamlico,947,15
37139,North Carolina,Pasquotank,3422,15
37141,North Carolina,Pender,6015,17
37143,North Carolina,Perquimans,1069,14
37145,North Carolina,Person,3319,14
37147,North Carolina,Pitt,14741,13
37149,North Carolina,Polk,1790,16
37151,North Carolina,Randolph,15694,18
37153,North Carolina,Richmond,4735,18
37155,North Carolina,Robeson,18325,24
37157,North Carolina,Rockingham,8445,16
37159,North Carolina,Rowan,14192,17
37161,North Carolina,Rutherford,6363,17
37163,North Carolina,Sampson,8501,24
37165,North Carolina,Scotland,3363,18
37167,North Carolina,Stanly,5651,16
37169,North Carolina,Stokes,4390,16
37171,North Carolina,Surry,7623,18
37173,North Carolina,Swain,1877,22
37175,North Carolina,Transylvania,3208,18
37177,North Carolina,Tyrrell,414,21
37179,North Carolina,Union,18496,13
37181,North Carolina,Vance,3925,15
37183,North Carolina,Wake,83242,12
37185,North Carolina,Warren,2074,20
37187,North Carolina,Washington,1077,16
37189,North Carolina,Watauga,5480,16
37191,North Carolina,Wayne,13746,19
37193,North Carolina,Wilkes,7675,19
37195,North Carolina,Wilson,8340,18
37197,North Carolina,Yadkin,3844,17
37199,North Carolina,Yancey,1742,18
